Year,Confession,District,Population
2013,Greek Catholic,WestBekaa.Rachaya,9487
2013,Evangelical,WestBekaa.Rachaya,415
2013,Druze,WestBekaa.Rachaya,19185
2013,Armenian Orthodox,WestBekaa.Rachaya,103
2013,Armenian Catholic,WestBekaa.Rachaya,z
2013,Alawite,WestBekaa.Rachaya,0
2013,Sunni,Zahle,45041
2013,Shia,Zahle,25527
2013,Minorities,Zahle,8519
2013,Maronite,Zahle,27639
2013,Greek Orthodox,Zahle,16439
2013,Greek Catholic,Zahle,29591
2013,Evangelical,Zahle,776
2013,Druze,Zahle,885
2013,Armenian Orthodox,Zahle,8788
2013,Armenian Catholic,Zahle,1796
2013,Alawite,Zahle,17
2013,Sunni,Chouf,53821
2013,Shia,Chouf,5541
2013,Minorities,Chouf,1876
2013,Maronite,Chouf,52373
2013,Greek Orthodox,Chouf,2996
2013,Greek Catholic,Chouf,12313
2013,Evangelical,Chouf,728
2013,Druze,Chouf,59110
2013,Armenian Orthodox,Chouf,228
2013,Armenian Catholic,Chouf,145
2013,Alawite,Chouf,8
2013,Sunni,Matn,3438
2013,Shia,Matn,4857
2013,Minorities,Matn,11369
2013,Maronite,Matn,75706
2013,Greek Orthodox,Matn,25501
2013,Greek Catholic,Matn,17185
2013,Evangelical,Matn,1026
2013,Druze,Matn,2277
2013,Armenian Orthodox,Matn,25410
2013,Armenian Catholic,Matn,6373
2013,Alawite,Matn,191
2013,Sunni,Baabda,9959
2013,Shia,Baabda,37487
2013,Minorities,Baabda,3650
2013,Maronite,Baabda,55357
2013,Greek Orthodox,Baabda,12399
2013,Greek Catholic,Baabda,8587
2013,Evangelical,Baabda,626
2013,Druze,Baabda,27068
2013,Armenian Orthodox,Baabda,1585
2013,Armenian Catholic,Baabda,765
2013,Alawite,Baabda,19
2013,Sunni,Jbeil,2558
2013,Shia,Jbeil,15289
2013,Minorities,Jbeil,1014
2013,Maronite,Jbeil,52719
2013,Greek Orthodox,Jbeil,3560
2013,Greek Catholic,Jbeil,1460
2013,Evangelical,Jbeil,134
2013,Druze,Jbeil,8
2013,Armenian Orthodox,Jbeil,1034
2013,Armenian Catholic,Jbeil,116
2013,Alawite,Jbeil,8
2013,Sunni,Aley,2329
2013,Shia,Aley,3908
2013,Minorities,Aley,1798
2013,Maronite,Aley,28158
2013,Greek Orthodox,Aley,14404
2013,Greek Catholic,Aley,4603
2013,Evangelical,Aley,891
2013,Druze,Aley,64106
2013,Armenian Orthodox,Aley,833
2013,Armenian Catholic,Aley,188
2013,Alawite,Aley,6
2013,Sunni,Kesrwan,506
2013,Shia,Kesrwan,1575
2013,Minorities,Kesrwan,2852
2013,Maronite,Kesrwan,75115
2013,Greek Orthodox,Kesrwan,3342
2013,Greek Catholic,Kesrwan,4580
2013,Evangelical,Kesrwan,190
2013,Druze,Kesrwan,26
2013,Armenian Orthodox,Kesrwan,1589
2013,Armenian Catholic,Kesrwan,791
2013,Alawite,Kesrwan,9
2013,Sunni,Jezzine,1370
2013,Shia,Jezzine,11390
2013,Minorities,Jezzine,793
2013,Maronite,Jezzine,32331
2013,Greek Orthodox,Jezzine,1418
2013,Greek Catholic,Jezzine,8313
2013,Evangelical,Jezzine,150
2013,Druze,Jezzine,541
2013,Armenian Orthodox,Jezzine,122
2013,Armenian Catholic,Jezzine,81
2013,Alawite,Jezzine,5
2013,Sunni,Tyr,14775
2013,Shia,Tyr,144087
2013,Minorities,Tyr,1083
2013,Maronite,Tyr,2738
2013,Greek Orthodox,Tyr,777
2013,Greek Catholic,Tyr,6062
2013,Evangelical,Tyr,304
2013,Druze,Tyr,19
2013,Armenian Orthodox,Tyr,1075
2013,Armenian Catholic,Tyr,152
2013,Alawite,Tyr,10
2013,Sunni,Saida,51059
2013,Shia,Saida,79598
2013,Minorities,Saida,1058
2013,Maronite,Saida,12444
2013,Greek Orthodox,Saida,1016
2013,Greek Catholic,Saida,13173
2013,Evangelical,Saida,627
2013,Druze,Saida,74
2013,Armenian Orthodox,Saida,321
2013,Armenian Catholic,Saida,78
2013,Alawite,Saida,8
2013,Sunni,Nabatiyeh,2813
2013,Shia,Nabatiyeh,123989
2013,Minorities,Nabatiyeh,590
2013,Maronite,Nabatiyeh,3856
2013,Greek Orthodox,Nabatiyeh,216
2013,Greek Catholic,Nabatiyeh,1051
2013,Evangelical,Nabatiyeh,50
2013,Druze,Nabatiyeh,13
2013,Armenian Orthodox,Nabatiyeh,14
2013,Armenian Catholic,Nabatiyeh,15
2013,Alawite,Nabatiyeh,21
2013,Sunni,Bent.Jbel,1812
2013,Shia,Bent.Jbel,116201
2013,Minorities,Bent.Jbel,550
2013,Maronite,Bent.Jbel,11900
2013,Greek Orthodox,Bent.Jbel,271
2013,Greek Catholic,Bent.Jbel,3040
2013,Evangelical,Bent.Jbel,68
2013,Druze,Bent.Jbel,13
2013,Armenian Orthodox,Bent.Jbel,66
2013,Armenian Catholic,Bent.Jbel,45
2013,Alawite,Bent.Jbel,8
2013,Sunni,Marjayoun.Hasbaya,25385
2013,Shia,Marjayoun.Hasbaya,83820
2013,Minorities,Marjayoun.Hasbaya,945
2013,Maronite,Marjayoun.Hasbaya,7226
2013,Greek Orthodox,Marjayoun.Hasbaya,9822
2013,Greek Catholic,Marjayoun.Hasbaya,3844
2013,Evangelical,Marjayoun.Hasbaya,1227
2013,Druze,Marjayoun.Hasbaya,15082
2013,Armenian Orthodox,Marjayoun.Hasbaya,101
2013,Armenian Catholic,Marjayoun.Hasbaya,51
2013,Alawite,Marjayoun.Hasbaya,7
2013,Sunni,Beirut,207835
2013,Shia,Beirut,71913
2013,Minorities,Beirut,31458
2013,Maronite,Beirut,28429
2013,Greek Orthodox,Beirut,39472
2013,Greek Catholic,Beirut,19701
2013,Evangelical,Beirut,3754
2013,Druze,Beirut,5175
